age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,last_online,location,offspring,pets,religion,sign,smokes,speaks
25,single,m,bisexual,fit,mostly anything,socially,,working on college/university,"hispanic / latin, white",69,-1,other,2012-06-28-12-57,"oakland, california","doesn't have kids, but might want them",likes dogs and likes cats,,libra and it&rsquo;s fun to think about,,"english (fluently), spanish (poorly)"
27,single,f,straight,curvy,,socially,,,,63,-1,entertainment / media,2012-06-29-17-20,"walnut creek, california",,,,libra,,english
35,single,m,straight,fit,,socially,,graduated from college/university,white,74,-1,computer / hardware / software,2012-06-30-00-01,"san rafael, california",,,,,no,english
30,single,m,straight,average,,often,never,graduated from masters program,,76,-1,computer / hardware / software,2012-06-29-22-56,"menlo park, california",doesn't have kids,likes cats,agnosticism,,no,"english (fluently), dutch (fluently), lisp (fluently), spanish (okay), german (okay)"
35,single,m,straight,athletic,strictly anything,,,graduated from college/university,"black, white",72,-1,,2012-06-30-00-01,"oakland, california","doesn't have kids, but wants them",,agnosticism,pisces,no,english
30,single,m,straight,average,strictly anything,often,sometimes,graduated from masters program,white,75,-1,artistic / musical / writer,2012-03-19-17-41,"berkeley, california",,,other but not too serious about it,gemini but it doesn&rsquo;t matter,no,"english, indonesian (fluently)"
40,single,m,straight,fit,,socially,,graduated from college/university,white,71,60000,construction / craftsmanship,2012-06-30-00-01,"san francisco, california",doesn't have kids,likes dogs,agnosticism but not too serious about it,gemini and it&rsquo;s fun to think about,no,"english (okay), french (poorly), spanish (poorly), c++ (okay)"
29,single,f,bisexual,curvy,anything,socially,sometimes,graduated from masters program,white,66,-1,other,2012-06-10-13-28,"san francisco, california",doesn't have kids,has cats,other,aquarius and it&rsquo;s fun to think about,no,"english, spanish (poorly), portuguese (poorly)"
27,single,m,straight,average,mostly anything,socially,never,college/university,pacific islander,69,-1,education / academia,2012-06-28-18-09,"oakland, california",doesn't have kids,,catholicism and somewhat serious about it,aquarius,,"english (fluently), tagalog (fluently)"
27,single,m,straight,athletic,mostly anything,socially,,graduated from masters program,,73,-1,,2012-06-29-07-09,"san francisco, california",,,,,,"english (fluently), swedish (fluently), french (poorly)"
28,single,m,straight,average,anything,often,sometimes,,white,70,-1,artistic / musical / writer,2012-06-25-15-06,"san francisco, california",doesn't have kids,,agnosticism and laughing about it,libra,no,english (okay)
31,single,f,bisexual,thin,strictly anything,socially,sometimes,dropped out of space camp,,67,1000000,artistic / musical / writer,2012-06-30-00-01,"san francisco, california",doesn't have kids,,,,no,"english (fluently), belarusan, gujarati, lisp, russian (fluently)"
26,single,f,straight,athletic,mostly anything,socially,never,graduated from college/university,white,66,-1,science / tech / engineering,2012-06-28-07-59,"belmont, california",doesn't have kids,likes dogs and likes cats,other but not too serious about it,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)"
33,single,f,gay,fit,,often,sometimes,graduated from college/university,white,66,-1,artistic / musical / writer,2012-06-27-08-41,"oakland, california",,,,taurus,no,"english (fluently), spanish (okay)"
38,single,f,gay,athletic,anything,socially,never,graduated from college/university,,65,-1,,2012-03-23-22-05,"oakland, california",wants kids,likes dogs,,taurus,no,english
31,single,m,straight,average,mostly anything,socially,,graduated from college/university,white,69,-1,science / tech / engineering,2012-06-23-11-09,"san francisco, california",doesn't have kids,likes dogs and likes cats,agnosticism,gemini and it&rsquo;s fun to think about,no,"english, japanese (poorly)"
36,single,m,straight,athletic,,socially,,graduated from college/university,"asian, native american",69,-1,computer / hardware / software,2012-06-20-14-54,"oakland, california",,has dogs,,,,english
33,single,m,straight,fit,mostly anything,rarely,never,graduated from college/university,white,69,-1,computer / hardware / software,2012-06-25-04-53,"menlo park, california",,likes dogs and likes cats,atheism,,no,english
33,single,m,gay,athletic,anything,socially,never,graduated from college/university,white,70,-1,medicine / health,2012-06-29-16-04,"san francisco, california",doesn't have kids,likes dogs and has cats,,pisces and it&rsquo;s fun to think about,no,"english, farsi (fluently)"
26,single,m,straight,fit,anything,socially,,working on college/university,white,71,-1,student,2012-06-29-17-24,"berkeley, california",,,atheism and laughing about it,sagittarius,no,"english (fluently), french (fluently), spanish (poorly)"
21,single,m,straight,thin,,socially,,working on college/university,white,72,-1,computer / hardware / software,2012-06-29-22-10,"san francisco, california",,,buddhism,,when drinking,english
22,single,m,straight,fit,,socially,sometimes,working on college/university,"hispanic / latin, white",70,-1,student,2011-10-13-03-10,"san francisco, california",,has dogs and has cats,agnosticism,pisces,sometimes,english
31,single,m,straight,average,,socially,,graduated from college/university,,71,-1,,2012-06-05-13-04,"san francisco, california",,likes dogs and likes cats,agnosticism and somewhat serious about it,libra but it doesn&rsquo;t matter,when drinking,"english (fluently), spanish (poorly)"
31,seeing someone,m,straight,fit,mostly anything,socially,never,working on college/university,"asian, pacific islander",67,-1,computer / hardware / software,2012-05-07-02-46,"san francisco, california",,likes dogs and dislikes cats,catholicism,gemini but it doesn&rsquo;t matter,no,"english, tagalog (poorly), c++ (okay)"
35,single,m,straight,thin,mostly vegetarian,socially,,,white,75,-1,other,2012-06-29-20-45,"san francisco, california",doesn't have kids,likes dogs and likes cats,,cancer,no,"english, spanish (poorly)"
31,single,m,straight,thin,strictly anything,socially,sometimes,graduated from masters program,white,70,-1,rather not say,2012-06-29-20-38,"san francisco, california",doesn't have kids,,agnosticism but not too serious about it,cancer and it&rsquo;s fun to think about,when drinking,english
28,single,f,straight,curvy,mostly vegetarian,socially,,working on masters program,white,67,-1,education / academia,2012-06-28-21-28,"san francisco, california","doesn't have kids, but might want them",likes dogs,other and laughing about it,gemini and it&rsquo;s fun to think about,sometimes,"english, spanish (okay)"
28,single,m,straight,athletic,anything,socially,never,graduated from college/university,hispanic / latin,72,-1,political / government,2012-06-27-09-14,"san francisco, california",doesn't have kids,,,virgo but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently)"
29,single,m,straight,fit,mostly vegetarian,socially,never,graduated from ph.d program,white,68,-1,science / tech / engineering,2012-06-29-09-47,"san francisco, california",doesn't have kids,,judaism but not too serious about it,,no,"english, spanish (poorly)"
22,single,m,straight,athletic,mostly anything,rarely,never,working on college/university,asian,65,20000,education / academia,2012-06-30-00-02,"san jose, california",,,buddhism and laughing about it,virgo but it doesn&rsquo;t matter,no,english (fluently)
30,single,f,straight,thin,,rarely,sometimes,working on college/university,"black, native american, white",66,-1,student,2012-05-28-14-45,"san francisco, california",,likes dogs and has cats,other and somewhat serious about it,aries and it&rsquo;s fun to think about,sometimes,english (fluently)
31,single,f,bisexual,average,strictly anything,socially,,,"middle eastern, other",69,-1,medicine / health,2012-05-09-16-41,"palo alto, california",doesn't want kids,likes dogs and likes cats,other and very serious about it,virgo,sometimes,english (fluently)
29,single,m,gay,thin,,socially,sometimes,working on masters program,white,76,-1,other,2012-04-26-07-55,"berkeley, california",,likes dogs and likes cats,agnosticism and somewhat serious about it,scorpio and it&rsquo;s fun to think about,no,"english (fluently), italian (poorly)"
25,single,f,straight,,,rarely,never,graduated from college/university,white,62,-1,science / tech / engineering,2012-06-28-17-28,"belmont, california",,,,pisces,no,english
33,single,f,straight,athletic,mostly anything,socially,,graduated from college/university,white,67,-1,entertainment / media,2012-02-15-06-10,"san francisco, california",,likes dogs,,gemini and it&rsquo;s fun to think about,no,"english, spanish (okay), italian (poorly), c++"
35,single,m,straight,athletic,mostly anything,socially,sometimes,graduated from space camp,"native american, white",73,150000,artistic / musical / writer,2012-06-29-00-25,"emeryville, california","doesn't have kids, but might want them",likes dogs and likes cats,agnosticism and very serious about it,pisces and it&rsquo;s fun to think about,no,"english (poorly), spanish (poorly)"
31,single,f,straight,curvy,mostly anything,socially,never,graduated from law school,indian,61,50000,law / legal services,2012-06-29-08-00,"oakland, california","doesn't have kids, but might want them",,hinduism but not too serious about it,libra and it&rsquo;s fun to think about,no,"english (fluently), hindi (okay), spanish (poorly), french (poorly), sanskrit (poorly)"
28,single,m,straight,fit,strictly anything,,,graduated from masters program,white,72,-1,education / academia,2012-06-28-20-44,"oakland, california",,likes dogs and has cats,,sagittarius but it doesn&rsquo;t matter,,"english (fluently), french (okay), german (poorly)"
29,available,f,bisexual,curvy,strictly vegetarian,socially,,graduated from college/university,,67,-1,rather not say,2012-06-28-22-21,"oakland, california",doesn't have kids,,,gemini,,"english (fluently), spanish (poorly)"
26,single,m,straight,fit,mostly anything,often,sometimes,working on ph.d program,white,72,-1,,2012-06-28-22-08,"berkeley, california","doesn't have kids, but might want them",likes dogs,agnosticism,capricorn but it doesn&rsquo;t matter,no,english
25,seeing someone,f,bisexual,curvy,,socially,never,working on college/university,white,65,-1,other,2011-10-20-19-56,"san francisco, california",,likes dogs and has cats,agnosticism and laughing about it,leo and it&rsquo;s fun to think about,no,english (fluently)
34,single,f,straight,curvy,mostly anything,socially,never,graduated from college/university,white,67,-1,sales / marketing / biz dev,2012-06-26-20-31,"san francisco, california",doesn't have kids,,agnosticism but not too serious about it,,no,"english, spanish, italian"
21,single,m,straight,fit,mostly anything,rarely,never,working on college/university,white,71,20000,entertainment / media,2011-12-20-12-29,"san francisco, california",,likes dogs and likes cats,catholicism but not too serious about it,,no,english
28,single,f,straight,thin,,often,never,graduated from masters program,white,67,-1,executive / management,2012-06-24-00-39,"san francisco, california",doesn't have kids,,atheism,cancer but it doesn&rsquo;t matter,no,"english (fluently), french (fluently)"
31,single,m,gay,average,mostly anything,socially,never,graduated from masters program,white,69,-1,,2012-06-29-14-02,"san francisco, california",,likes dogs and likes cats,atheism,,no,"english, german (fluently), spanish (okay)"
34,single,m,straight,fit,anything,socially,never,graduated from masters program,white,69,100000,executive / management,2012-06-28-22-24,"san francisco, california",,likes dogs and has cats,agnosticism,,no,"english, other (poorly)"
32,single,f,gay,average,,socially,never,graduated from college/university,"asian, white",64,-1,science / tech / engineering,2012-02-25-22-53,"san francisco, california",,likes dogs and likes cats,,pisces and it&rsquo;s fun to think about,no,"english (fluently), japanese (okay), spanish (poorly)"
30,single,m,straight,athletic,,socially,never,graduated from college/university,,73,-1,science / tech / engineering,2011-12-25-22-08,"san francisco, california",,likes dogs,,gemini but it doesn&rsquo;t matter,no,english
28,single,m,straight,average,,socially,,graduated from college/university,white,68,-1,,2012-04-21-22-07,"palo alto, california",,likes cats,atheism but not too serious about it,scorpio and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay), portuguese (poorly)"
40,single,f,straight,fit,anything,socially,,college/university,,66,-1,,2012-06-06-21-05,"san francisco, california",,likes dogs and likes cats,,taurus,no,"english (fluently), spanish (okay)"
27,single,f,straight,a little extra,mostly anything,often,never,graduated from college/university,,61,-1,sales / marketing / biz dev,2012-06-26-22-44,"san francisco, california",,,,aries and it&rsquo;s fun to think about,no,"english, spanish (poorly)"
43,single,m,straight,a little extra,,socially,never,two-year college,,71,-1,law / legal services,2012-06-29-09-18,"oakland, california",doesn't have kids,,,,no,"english, chinese (poorly), spanish (okay)"
37,single,f,straight,average,mostly anything,socially,never,graduated from college/university,,64,-1,,2012-03-30-08-10,"san francisco, california",,likes dogs and has cats,other but not too serious about it,,no,english
24,single,m,straight,average,anything,socially,never,graduated from college/university,black,74,-1,sales / marketing / biz dev,2012-01-27-18-35,"san francisco, california",,,,cancer,yes,english
29,single,m,straight,,,,,graduated from college/university,white,74,-1,science / tech / engineering,2011-10-27-01-12,"san rafael, california",,,catholicism,scorpio,,english
29,available,f,straight,a little extra,,,sometimes,graduated from two-year college,white,67,50000,medicine / health,2011-07-27-20-01,"el granada, california",,,,capricorn and it&rsquo;s fun to think about,,english
28,single,m,straight,fit,mostly vegetarian,socially,,graduated from college/university,"hispanic / latin, white",69,-1,computer / hardware / software,2012-06-29-22-43,"san francisco, california",doesn't have kids,likes dogs,,leo,no,"english (fluently), spanish (okay)"
29,single,m,straight,fit,mostly anything,socially,sometimes,graduated from college/university,white,67,40000,artistic / musical / writer,2012-05-28-15-18,"san francisco, california",doesn't want kids,likes dogs and likes cats,agnosticism and very serious about it,libra,no,english (fluently)
25,single,m,straight,athletic,mostly anything,socially,,graduated from college/university,white,78,80000,sales / marketing / biz dev,2012-06-26-22-52,"san francisco, california","doesn't have kids, but might want them",likes dogs and likes cats,catholicism and laughing about it,aries but it doesn&rsquo;t matter,no,"english (fluently), french (okay)"
34,single,m,straight,skinny,mostly other,very often,,dropped out of space camp,white,75,-1,hospitality / travel,2012-06-29-20-28,"san francisco, california",,likes dogs and has cats,other and very serious about it,aries,no,"english (poorly), german (poorly), spanish (poorly), other (fluently)"
39,single,m,straight,fit,,socially,never,graduated from college/university,asian,70,-1,other,2012-05-16-22-46,"san francisco, california",doesn't have kids,,agnosticism,,no,"english, chinese"
31,single,f,straight,curvy,anything,socially,sometimes,graduated from masters program,white,66,-1,executive / management,2012-06-29-06-59,"san francisco, california","doesn't have kids, but might want them",likes dogs,atheism,pisces,no,english (fluently)
46,single,m,straight,average,mostly anything,socially,never,,black,72,-1,construction / craftsmanship,2012-06-24-21-23,"castro valley, california",has a kid,,christianity,taurus,no,english
38,single,m,straight,thin,,socially,,working on masters program,white,71,-1,education / academia,2012-06-29-08-52,"san francisco, california","doesn't have kids, but might want them",,,aquarius,no,english
30,single,m,straight,fit,strictly anything,socially,never,graduated from college/university,,68,-1,banking / financial / real estate,2012-06-18-22-02,"daly city, california",,,other and very serious about it,,no,"english (poorly), afrikaans (fluently), c++ (fluently), khmer (fluently), lisp (okay)"
41,single,m,straight,athletic,mostly anything,socially,often,working on space camp,white,69,1000000,education / academia,2012-06-28-09-53,"fairfax, california",,,agnosticism and somewhat serious about it,libra and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly), french (poorly)"
39,single,m,straight,athletic,mostly other,socially,sometimes,,white,70,100000,computer / hardware / software,2012-05-19-18-19,"san francisco, california",,likes dogs,atheism but not too serious about it,leo and it&rsquo;s fun to think about,no,english (fluently)
31,single,f,straight,thin,anything,socially,never,graduated from masters program,white,63,-1,other,2012-06-25-19-41,"san francisco, california","doesn't have kids, but wants them",likes dogs,,scorpio but it doesn&rsquo;t matter,no,english
42,single,f,straight,fit,mostly anything,socially,never,graduated from masters program,white,65,-1,education / academia,2012-06-29-22-35,"mountain view, california",has kids,likes dogs,judaism,aries but it doesn&rsquo;t matter,no,"english (fluently), french (poorly), hebrew (okay), yiddish (poorly)"
45,single,f,straight,fit,mostly anything,socially,never,graduated from masters program,asian,64,-1,executive / management,2012-06-24-20-20,"menlo park, california",doesn't have kids,likes dogs,agnosticism and laughing about it,aries but it doesn&rsquo;t matter,no,english (fluently)
21,single,m,straight,athletic,mostly anything,rarely,never,working on med school,white,72,500000,medicine / health,2012-03-17-21-19,"burlingame, california",,has dogs,,aries and it&rsquo;s fun to think about,no,english
28,single,f,straight,,,socially,never,graduated from law school,pacific islander,64,-1,law / legal services,2012-06-30-00-04,"san francisco, california","doesn't have kids, but might want them",likes dogs,,aries but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly), tagalog (poorly)"
29,single,m,straight,fit,strictly anything,socially,never,graduated from college/university,white,66,-1,other,2012-06-29-19-06,"martinez, california",doesn't have kids,,christianity and very serious about it,,no,english
36,single,m,straight,average,,socially,,graduated from masters program,,68,-1,education / academia,2012-06-24-23-44,"san francisco, california",,,,virgo,no,"english, spanish"
28,single,m,straight,athletic,,socially,,graduated from college/university,white,71,-1,education / academia,2012-06-29-22-07,"oakland, california",doesn't have kids,likes dogs,agnosticism,,no,"english (fluently), spanish (fluently)"
24,single,m,straight,athletic,,socially,,,"black, native american, hispanic / latin, other",74,-1,,2012-06-29-11-16,"oakland, california",,,,,,english
23,single,f,straight,curvy,mostly anything,rarely,never,working on college/university,"black, native american, hispanic / latin",66,20000,other,2012-06-28-18-40,"san francisco, california",has a kid,likes dogs and likes cats,other,capricorn and it&rsquo;s fun to think about,when drinking,english (fluently)
36,seeing someone,m,straight,fit,strictly anything,often,sometimes,graduated from ph.d program,white,70,-1,science / tech / engineering,2012-03-22-16-56,"emeryville, california",,likes dogs and likes cats,agnosticism,aries but it doesn&rsquo;t matter,no,"english (fluently), c++ (okay), french (poorly)"
35,single,m,straight,thin,,socially,never,,white,72,-1,,2012-06-24-18-46,"pleasant hill, california",,,atheism and laughing about it,aquarius,when drinking,english
18,single,m,straight,,,,never,,"asian, black, pacific islander",68,-1,,2012-05-24-23-07,"hayward, california",,,,,,"english (fluently), sign language (okay), hindi (fluently)"
55,single,m,straight,athletic,,not at all,never,dropped out of college/university,white,67,-1,construction / craftsmanship,2012-02-09-23-34,"alameda, california",has kids,likes dogs and likes cats,other but not too serious about it,leo,no,"english (fluently), spanish (fluently), japanese (poorly)"
21,single,f,straight,average,mostly vegetarian,not at all,never,working on space camp,"white, other",65,-1,,2012-06-29-13-31,"san francisco, california",doesn't have kids,likes dogs and likes cats,other and somewhat serious about it,capricorn and it&rsquo;s fun to think about,no,"english (fluently), russian (okay), french (poorly)"
28,seeing someone,f,straight,thin,mostly anything,socially,,working on college/university,white,66,-1,student,2012-06-22-02-01,"berkeley, california",,likes dogs and likes cats,,scorpio,no,"english (fluently), polish (fluently), spanish (poorly)"
24,single,m,straight,average,,socially,never,graduated from college/university,white,71,-1,computer / hardware / software,2012-06-28-11-06,"san francisco, california",,has cats,atheism and somewhat serious about it,aquarius but it doesn&rsquo;t matter,no,"english, russian (okay)"
50,single,m,straight,fit,mostly anything,socially,never,graduated from two-year college,white,75,-1,unemployed,2012-06-09-23-55,"vallejo, california",has kids,dislikes dogs and has cats,christianity and somewhat serious about it,gemini but it doesn&rsquo;t matter,no,"english (fluently), tagalog (poorly)"
23,single,m,straight,athletic,anything,socially,sometimes,graduated from space camp,white,66,-1,artistic / musical / writer,2012-06-15-23-59,"san francisco, california",,likes dogs and likes cats,,cancer,trying to quit,"english (fluently), russian (fluently)"
21,single,m,straight,thin,strictly anything,socially,often,working on space camp,"hispanic / latin, white",70,1000000,medicine / health,2012-06-29-17-01,"san francisco, california","doesn't have kids, and doesn't want any",likes dogs,atheism and laughing about it,sagittarius and it&rsquo;s fun to think about,sometimes,english
27,single,f,bisexual,curvy,mostly anything,socially,never,graduated from college/university,white,62,-1,medicine / health,2012-06-12-23-51,"san francisco, california",,,other but not too serious about it,aries but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)"
27,single,m,straight,fit,,socially,,graduated from college/university,asian,68,150000,science / tech / engineering,2012-02-29-12-08,"san francisco, california",,likes dogs and likes cats,agnosticism but not too serious about it,,no,english
43,single,m,straight,average,,socially,never,graduated from college/university,white,73,-1,science / tech / engineering,2012-06-28-00-22,"emeryville, california",,,,virgo but it doesn&rsquo;t matter,no,"english, german (poorly), lisp (fluently), c++ (fluently)"
27,available,m,straight,fit,strictly anything,socially,,graduated from college/university,asian,68,150000,other,2012-06-27-00-15,"san francisco, california",,likes dogs and likes cats,agnosticism but not too serious about it,,no,english
26,single,m,straight,average,,often,never,dropped out of space camp,white,71,-1,computer / hardware / software,2012-06-30-00-05,"san francisco, california",doesn't want kids,likes dogs and likes cats,atheism and laughing about it,libra,trying to quit,english
26,available,m,straight,average,,rarely,,graduated from college/university,,66,-1,computer / hardware / software,2012-01-29-01-04,"menlo park, california",doesn't want kids,,atheism,,no,"english (fluently), c++ (okay)"
30,available,m,straight,,,socially,sometimes,dropped out of college/university,white,69,-1,,2012-06-29-22-14,"san francisco, california",,likes cats,agnosticism,gemini but it doesn&rsquo;t matter,yes,english
32,seeing someone,f,straight,curvy,mostly vegetarian,socially,never,working on space camp,white,68,-1,,2012-05-15-17-48,"berkeley, california",,has dogs,other,leo and it&rsquo;s fun to think about,trying to quit,"english (okay), german (poorly), spanish (poorly), serbian (poorly)"
43,single,f,bisexual,curvy,mostly vegetarian,socially,,graduated from masters program,white,68,-1,artistic / musical / writer,2012-06-29-10-30,"san francisco, california",,likes dogs and has cats,,libra and it matters a lot,no,"english, spanish (poorly), french (poorly)"
39,single,f,straight,average,anything,rarely,never,graduated from masters program,white,68,-1,education / academia,2012-06-12-21-54,"san francisco, california",,has dogs,,,no,english
